word,definition,part of speech,example
aberrant,markedly different from an accepted norm.,adjective,"When the financial director started screaming and throwing food at his co-workers, the police had to come in to deal with his aberrant behavior."
aberration,a deviation from what is normal or expected.,noun,Aberrations in climate have become the norm: rarely a week goes by without some meteorological phenomenon making headlines.
abstain,"choose not to consume or take part in (particularly something enjoyable) Considered a health nut, Jessica abstained from anything containing sugar--even chocolate.",verb,
abstruse,difficult to understand; incomprehensible.,adjective,Physics textbooks can seem so abstruse to the uninitiated that readers feel as though they are looking at hieroglyphics.
adamant,refusing to change one's mind.,adjective,"Civil rights icon Rosa Parks will forever be remembered for adamantly refusing to give up her seat on a public bus--even after the bus driver insisted, she remained rooted in place."
admonish,"to warn strongly, even to the point of reprimanding.",verb,"Before the concert began, security personel admonished the crowd not to come up on stage during the performance."
admonitory,serving to warn; expressing reproof or reproach especially as a corrective.,adjective,"At the assembly, the high school vice-principal gave the students an admonitory speech, warning them of the many risks and dangers of prom night."
aesthete,one who professes great sensitivity to the beauty of art and nature.,noun,"A true aesthete, Marty would spend hours at the Guggenheim Museum, staring at the same Picasso."
aesthetic,concerned with the appreciation of beauty.,adjective,"The director, not known for his aesthetic sensibilities, decided not to use costumes at all, and put on the play in everyday clothing."
aesthetic,a set of principles underlying and guiding the work of a particular artist or artistic movement.,noun,"The artist operated according to a peculiar aesthetic, not considering any photograph to be worth publishing unless it contained a marine mammal."
amalgam,a mixture of multiple things.,noun,"The band's music was an amalgam of hip-hop, flamenco and jazz, blending the three styles with surprising results."
ambiguous,open to more than one interpretation.,adjective,"The coach told his team, ""Move towards that side of the field""; because he did not point, his directions were ambiguous, and the team had no idea to which side he was referring."
ambivalent,mixed or conflicting emotions about something.,adjective,"Sam was ambivalent about studying for the exam because doing so ate up a lot of his time, yet he was able to improve his analytical skills."
ameliorate,make something bad better.,verb,Three Cups of Tea tells the story of western man who hopes to ameliorate poverty and the lack of education in Afghanistan.
amenable,easily persuaded.,adjective,"Even though she did not like the outdoors, Shirley was generally amenable and so her brother was able to persuade her to go camping."
amorphous,shapeless.,adjective,His study plan for the GRE was at best amorphous; he would do questions from random pages in any one of seven test prep books.
anomalous,not normal.,adjective,"According to those who do not believe in climate change, the extreme weather over the last five years is simply anomalous--average temps should return to average, they believe."
anomaly,"something that is not normal, standard, or expected.",noun,"After finding an anomaly in the data, she knew that she would have to conduct her experiment again."
antipathy,an intense feeling of dislike or aversion.,noun,"Maria had an antipathy for tour groups, often bolting to the other side of the museum as soon as she saw a chaperone leading a group of wide-eyed tourists."
antithetical,sharply contrasted in character or purpose.,adjective,"His deep emotional involvement with these ideas is, in fact, antithetical to the disattachment Buddhism preaches."
apathetic,marked by a lack of interest.,adjective,Mr. Thompson was so talented at teaching math that even normally apathetic students took interest.
apathy,an absence of emotion or enthusiasm.,noun,Widespread apathy among voters led to a very small turnout on election day.
apocryphal,being of questionable authenticity.,adjective,The web is notorious for sandwiching apocryphal stories between actual news.
appease,pacify by acceding to the demands of.,verb,"Neville Chamberlain, the British prime minister during WWII, tried to appease Hitler and in doing so sent a clear message: you can walk all over us."
arbitrary,"based on a random, groundless decision.",adjective,One of the arbitrary decrees in place during the emperor's rule is that all citizens pay him weekly homage at his palace. This word has other definitions but this is the most important one for the GRE.
arcane,requiring secret or mysterious knowledge.,adjective,Most college fraternities are known for arcane rituals that those hoping to the join the fraterntiy must learn.
arduous,"demanding considerable mental effort and skill; testing powers of endurance In order to deal with the arduous cross-country journey, truck drivers often survive on a string of caffeinated drinks, staying awake for up to 30 hours at a time.",adjective,
artful,exhibiting artistic skill.,adjective,Picasso is generally considered the most artful member of the Cubist movement.
artful,clever in a cunning way.,adjective,Bernie Madoff's artful Ponzi scheme stole billions of dollars from investors and is considered the largest financial fraud in U.S. history.
ascetic,practicing self-denial.,adjective,"His ascetic life is the main reason he inspired so many followers, especially since he gave up wealth and power to live in poverty."
ascetic,one who practices great self-denial.,noun,"Historically, ascetics like Ghandi are often considered wise men partially because of their restraint."
askance,with a look of suspicion or disapproval.,adverb,"The old couple looked askance on the teenagers seated next to them, whispering to each other, ""They've got rings through their noses and purple hair!""."
